x;system
-9.176370614359245;-17.032402928730054
-9.166370614359245;-15.820890205801017
-9.156370614359245;-14.743871277432197
-9.146370614359245;-13.782227742568734
-9.136370614359246;-12.920065056936636
-9.126370614359246;-12.144069147757163
-9.116370614359246;-11.443005436672294
-9.106370614359246;-10.807324848169989
-9.096370614359246;-10.228850890124699
-9.086370614359247;-9.700528626686305
-9.076370614359247;-9.216221182956582
-9.066370614359247;-8.770542902253695
-9.056370614359247;-8.358720811387359
-9.046370614359247;-7.976477905379308
-9.036370614359248;-7.619933126192583
-9.026370614359248;-7.285513909958558
-9.016370614359248;-6.9698779049760295
-9.006370614359248;-6.669840982486211
-8.996370614359249;-6.382309018854338
-8.986370614359249;-6.104211152452225
-8.976370614359249;-5.832432332205938
-8.96637061435925;-5.563742990737895
-8.95637061435925;-5.294723600621479
-8.94637061435925;-5.021681710030279
-8.93637061435925;-4.740558802616343
-8.92637061435925;-4.446823981106585
-8.91637061435925;-4.135351027392801
-8.90637061435925;-3.8002748341410233
-8.89637061435925;-3.434822522972796
-8.886370614359251;-3.031113750403657
-8.876370614359251;-2.5799237442941596
-8.866370614359251;-2.0704015031914667
-8.856370614359252;-1.4897343277901625
-8.846370614359252;-0.8227484484102909
-8.836370614359252;-0.05143399348280209
-8.826370614359252;0.8456190326332722
-8.816370614359252;1.893888633708623
-8.806370614359253;3.123708792204674
-8.796370614359253;4.571194697552814
-8.786370614359253;6.279322631644041
-8.776370614359253;8.299181001425133
-8.766370614359253;10.691406423780908
-8.756370614359254;13.52781386074282
-8.746370614359254;16.89322185647507
-8.736370614359254;20.88746224780836
-8.726370614359254;25.627547809028748
-8.716370614359255;31.249951121259844
-8.706370614359255;37.91292436309416
-8.696370614359255;45.798764897946256
-8.686370614359255;55.11590956920745
-8.676370614359255;66.10072788238405
-8.666370614359256;79.01888943731812
-8.656370614359256;94.16621434844936
-8.646370614359256;111.8689870366168
-8.636370614359256;132.48383058376243
-8.626370614359256;156.39740064700055
-8.616370614359257;184.02635380393664
-8.606370614359257;215.81825166770193
-8.596370614359257;252.25424521891938
-8.586370614359257;293.8545063797163
-8.576370614359258;341.187407121333
-8.566370614359258;394.8833827445362
-8.556370614359258;455.654277696595
-8.546370614359258;524.3188115447841
-8.536370614359258;601.8346911719651
-8.526370614359259;689.3379066612484
-8.516370614359259;788.1899411633203
-8.506370614359259;900.0340324480228
-8.49637061435926;1026.8622551296128
-8.48637061435926;1171.096045135394
-8.47637061435926;1335.6838651177475
-8.46637061435926;1524.2210382319345
-8.45637061435926;1741.0984234519638
-8.44637061435926;1991.6886832959206
-8.43637061435926;2282.5815790657794
-8.42637061435926;2621.8832671684067
-8.416370614359261;3019.599305063119
-8.406370614359261;3488.1274781877046
-8.396370614359261;4042.8952834609195
-8.386370614359262;4703.188866493239
-8.376370614359262;5493.236705005496
-8.366370614359262;6443.634212692986
-8.356370614359262;7593.227374830233
-8.346370614359262;8991.618394692563
-8.336370614359263;10702.51979903105
-8.326370614359263;12808.273883950475
-8.316370614359263;15415.98421168058
-8.306370614359263;18665.893730890515
-8.296370614359263;22742.918171110403
-8.286370614359264;27892.646661441904
-8.276370614359264;34443.72029350169
-8.266370614359264;42839.396652185336
-8.256370614359264;53682.46617267846
-8.246370614359265;67799.76193316988
-8.236370614359265;86335.71173030461
-8.226370614359265;110889.3924237911
-8.216370614359265;143717.4684490661
-8.206370614359265;188038.07493268044
-8.196370614359266;248491.26150661646
-8.186370614359266;331845.39743973344
-8.176370614359266;448095.2705654969
-8.166370614359266;612192.9787765276
-8.156370614359266;846816.7818354485
-8.146370614359267;1186870.2062494115
-8.136370614359267;1686915.36733122
-8.126370614359267;2433674.0710052103
-8.116370614359267;3567454.2871841295
-8.106370614359268;5319628.169822864
-8.096370614359268;8079632.769555672
-8.086370614359268;1.2517598090772925E7
-8.076370614359268;1.9814559724285547E7
-8.066370614359268;3.2106706121321782E7
-8.056370614359269;5.336872235831992E7
-8.046370614359269;9.122866555557083E7
-8.036370614359269;1.6083304644021764E8
-8.02637061435927;2.9341062504515725E8
-8.01637061435927;5.560985636168739E8
-8.00637061435927;1.100145637760326E9
-7.99637061435927;2.284734063057553E9
-7.98637061435927;5.015475298720186E9
-7.97637061435927;1.173795392258291E10
-7.9663706143592705;2.9603338123997353E10
-7.956370614359271;8.156947406927657E10
-7.946370614359271;2.5001683413862958E11
-7.936370614359271;8.73323171988356E11
-7.926370614359271;3.5954073305163604E12
-7.916370614359272;1.8316106527742984E13
-7.906370614359272;1.2437120979005147E14
-7.896370614359272;1.2716866303370952E15
-7.886370614359272;2.443768745439739E16
-7.876370614359272;1.4150886511194191E18
-7.866370614359273;9.48340503936627E20
-7.863981633974483;1.000533482032183E22
-7.856370614359273;6.9131311558801345E28
-7.854981633974483;1.0000053333628933E33
-7.854081633974483;1.0000000536278225E44
-7.853981633974483;undefined
-7.853881633974483;-1.0000000530918305E44
-7.8529816339744825;-1.0000053333121343E33
-7.846370614359273;-2.0149437268749855E23
-7.843981633974483;-1.0005334820270044E22
-7.836370614359273;-1.981932660611038E19
-7.8263706143592735;-1.4120793414241315E17
-7.816370614359274;-4.729452910000901E15
-7.806370614359274;-3.551972564317694E14
-7.796370614359274;-4.386615504878405E13
-7.786370614359274;-7.592794006972637E12
-7.776370614359275;-1.6780491756584358E12
-7.766370614359275;-4.463229059747002E11
-7.756370614359275;-1.372799340039912E11
-7.746370614359275;-4.747181403615269E10
-7.736370614359275;-1.8078596006010292E10
-7.726370614359276;-7.464894997743202E9
-7.716370614359276;-3.302006815127163E9
-7.706370614359276;-1.5498730536999953E9
-7.696370614359276;-7.660560202620411E8
-7.6863706143592765;-3.962476597635828E8
-7.676370614359277;-2.1339345771449432E8
-7.666370614359277;-1.1913455726834793E8
-7.656370614359277;-6.870082168654312E7
-7.646370614359277;-4.079552769508549E7
-7.6363706143592776;-2.487930453584611E7
-7.626370614359278;-1.5546877411440186E7
-7.616370614359278;-9934829.142857602
-7.606370614359278;-6480828.85397562
-7.596370614359278;-4309082.66155239
-7.586370614359279;-2916293.352625453
-7.576370614359279;-2006518.7529399325
